,air_inflow,air_end_temp,out_pressure,motor_current,motor_rpm,motor_temp,motor_vibe,type
2277,1.97,46.14,0.7,25.56,2091.0,63.23,3.16,7.0
2278,2.6,54.36,0.7,33.6,2749.0,70.54,3.53,7.0
2279,2.12,48.01,0.7,27.39,2241.0,64.9,3.25,7.0
2280,1.13,35.01,0.7,14.68,1201.0,53.34,2.67,7.0
2281,1.91,45.25,0.7,24.69,2020.0,62.44,3.12,7.0
2282,3.17,62.01,0.7,41.08,3361.0,77.34,3.87,7.0
2283,3.09,60.85,0.7,39.94,3268.0,76.31,3.82,7.0
2284,2.73,56.09,0.7,35.29,2887.0,72.08,3.6,7.0
2285,2.8,57.06,0.7,36.24,2965.0,72.94,3.65,7.0
2286,2.38,51.44,0.7,30.74,2515.0,67.94,3.4,7.0
2287,1.85,44.55,0.7,24.0,1964.0,61.82,3.09,7.0
2288,2.07,47.45,0.7,26.84,2196.0,64.4,3.22,7.0
2289,3.2,62.34,0.7,41.4,3387.0,77.63,3.88,7.0
2290,2.11,47.86,0.7,27.24,2229.0,64.77,3.24,7.0
2291,3.11,61.13,0.7,40.21,3290.0,76.56,3.83,7.0
2292,1.22,36.15,0.7,15.79,1292.0,54.36,2.72,7.0
2293,1.51,40.04,0.7,19.59,1603.0,57.81,2.89,7.0
2294,1.16,35.33,0.7,14.98,1226.0,53.62,2.68,7.0
2295,1.31,37.39,0.7,17.0,1391.0,55.46,2.77,7.0
2296,1.41,38.63,0.7,18.21,1490.0,56.56,2.83,7.0
2297,2.69,55.64,0.7,34.85,2851.0,71.68,3.58,7.0
2298,1.77,43.39,0.7,22.87,1871.0,60.79,3.04,7.0
2299,1.54,40.33,0.7,19.87,1626.0,58.07,2.9,7.0
2300,1.78,43.55,0.7,23.03,1884.0,60.93,3.05,7.0
2301,2.34,50.93,0.7,30.24,2474.0,67.49,3.37,7.0
2302,3.25,63.04,0.7,42.08,3443.0,78.26,3.91,7.0
2303,2.67,55.35,0.7,34.56,2828.0,71.42,3.57,7.0
2304,1.5,39.84,0.7,19.4,1587.0,57.63,2.88,7.0
2305,2.02,46.73,0.7,26.13,2138.0,63.76,3.19,7.0
2306,3.15,61.66,0.7,40.74,3333.0,77.03,3.85,7.0
2307,2.65,55.09,0.7,34.31,2807.0,71.19,3.56,7.0
2308,1.28,36.91,0.7,16.54,1353.0,55.03,2.75,7.0
2309,2.98,59.5,0.7,38.62,3160.0,75.11,3.76,7.0
2310,3.06,60.48,0.7,39.58,3238.0,75.98,3.8,7.0
2311,1.9,45.1,0.7,24.54,2008.0,62.31,3.12,7.0
2312,1.91,45.34,0.7,24.77,2027.0,62.52,3.13,7.0
2313,1.62,41.43,0.7,20.95,1714.0,59.04,2.95,7.0
2314,2.86,57.88,0.7,37.03,3030.0,73.67,3.68,7.0
2315,2.6,54.39,0.7,33.62,2751.0,70.57,3.53,7.0
2316,2.81,57.14,0.7,36.31,2971.0,73.01,3.65,7.0
2317,3.28,63.36,0.7,42.4,3469.0,78.54,3.93,7.0
2318,2.48,52.83,0.7,32.1,2626.0,69.18,3.46,7.0
2319,2.31,50.51,0.7,29.83,2441.0,67.12,3.36,7.0
2320,2.57,54.06,0.7,33.31,2725.0,70.28,3.51,7.0
2321,1.26,36.71,0.7,16.34,1337.0,54.86,2.74,7.0
2322,2.92,58.59,0.7,37.73,3087.0,74.3,3.72,7.0
2323,1.2,35.86,0.7,15.51,1269.0,54.1,2.71,7.0
2324,1.24,36.45,0.7,16.08,1316.0,54.62,2.73,7.0
