,air_inflow,air_end_temp,out_pressure,motor_current,motor_rpm,motor_temp,motor_vibe,hp
1167,4.73,54.3,0.7,55.0,2704.0,71.04,4.7,50
1168,5.65,60.83,0.7,65.0,3226.0,76.84,4.99,50
1169,2.45,37.99,0.7,28.0,1399.0,56.54,3.98,50
1170,5.86,62.33,0.7,68.0,3346.0,78.18,5.06,50
1171,4.43,52.15,0.7,51.0,2532.0,69.13,4.61,50
1172,4.01,49.14,0.7,46.0,2291.0,66.46,4.47,50
1173,3.52,45.65,0.7,41.0,2012.0,63.36,4.32,50
1174,3.01,41.98,0.7,35.0,1718.0,60.09,4.15,50
1175,4.85,55.11,0.7,56.0,2769.0,71.77,4.74,50
1176,5.3,58.38,0.7,61.0,3030.0,74.67,4.88,50
1177,5.93,62.86,0.7,69.0,3389.0,78.66,5.08,50
1178,6.18,64.65,0.7,72.0,3532.0,80.24,5.16,50
1179,3.71,47.03,0.7,43.0,2122.0,64.58,4.38,50
1180,3.3,44.09,0.7,38.0,1887.0,61.97,4.25,50
1181,2.8,40.5,0.7,32.0,1600.0,58.78,4.09,50
1182,5.05,56.59,0.7,59.0,2887.0,73.08,4.8,50
1183,4.14,50.04,0.7,48.0,2363.0,67.26,4.51,50
1184,5.22,57.81,0.7,61.0,2985.0,74.17,4.86,50
1185,5.23,57.89,0.7,61.0,2991.0,74.23,4.86,50
1186,5.71,61.3,0.7,66.0,3264.0,77.27,5.01,50
1187,3.34,44.35,0.7,39.0,1908.0,62.2,4.26,50
1188,4.89,55.41,0.7,57.0,2793.0,72.03,4.75,50
1189,3.9,48.36,0.7,45.0,2229.0,65.77,4.44,50
1190,4.63,53.55,0.7,54.0,2644.0,70.38,4.67,50
1191,5.7,61.19,0.7,66.0,3255.0,77.17,5.01,50
1192,5.26,58.06,0.7,61.0,3005.0,74.39,4.87,50
1193,6.05,63.69,0.7,70.0,3455.0,79.39,5.12,50
1194,3.66,46.61,0.7,42.0,2089.0,64.21,4.36,50
1195,2.85,40.88,0.7,33.0,1630.0,59.11,4.11,50
1196,4.57,53.15,0.7,53.0,2612.0,70.02,4.65,50
1197,2.72,39.93,0.7,32.0,1554.0,58.27,4.06,50
1198,3.72,47.08,0.7,43.0,2126.0,64.62,4.38,50
1199,3.5,45.48,0.7,41.0,1998.0,63.2,4.31,50
1200,4.0,49.06,0.7,46.0,2285.0,66.39,4.47,50
1201,3.18,43.2,0.7,37.0,1816.0,61.18,4.21,50
1202,4.38,51.8,0.7,51.0,2504.0,68.82,4.59,50
1203,3.68,46.75,0.7,43.0,2100.0,64.33,4.37,50
1204,4.85,55.18,0.7,56.0,2774.0,71.82,4.74,50
1205,4.9,55.49,0.7,57.0,2799.0,72.1,4.76,50
1206,4.0,49.06,0.7,46.0,2285.0,66.39,4.47,50
1207,4.19,50.46,0.7,49.0,2397.0,67.63,4.53,50
1208,3.65,46.54,0.7,42.0,2083.0,64.14,4.36,50
1209,6.22,64.96,0.7,72.0,3557.0,80.52,5.18,50
1210,5.36,58.75,0.7,62.0,3060.0,75.0,4.9,50
1211,4.04,49.38,0.7,47.0,2310.0,66.67,4.48,50
1212,6.19,64.74,0.7,72.0,3539.0,80.32,5.17,50
1213,5.27,58.13,0.7,61.0,3010.0,74.44,4.87,50
1214,5.03,56.46,0.7,58.0,2877.0,72.97,4.8,50
1215,5.38,58.91,0.7,62.0,3073.0,75.14,4.91,50
1216,5.22,57.78,0.7,60.0,2982.0,74.13,4.86,50
1217,2.16,35.93,0.7,25.0,1234.0,54.71,3.89,50
1218,5.69,61.13,0.7,66.0,3250.0,77.11,5.01,50
1219,5.68,61.04,0.7,66.0,3243.0,77.03,5.0,50
1220,5.9,62.61,0.7,68.0,3369.0,78.43,5.07,50
1221,3.1,42.65,0.7,36.0,1772.0,60.69,4.18,50
1222,6.09,63.98,0.7,71.0,3478.0,79.64,5.13,50
1223,3.49,45.45,0.7,40.0,1996.0,63.18,4.31,50
1224,4.16,50.24,0.7,48.0,2379.0,67.43,4.52,50
1225,4.77,54.56,0.7,55.0,2725.0,71.28,4.71,50
1226,5.02,56.35,0.7,58.0,2868.0,72.87,4.79,50
1227,2.45,38.0,0.7,28.0,1400.0,56.56,3.98,50
1228,2.88,41.04,0.7,33.0,1643.0,59.26,4.11,50
1229,2.4,37.65,0.7,28.0,1372.0,56.24,3.96,50
1230,5.67,60.99,0.7,66.0,3239.0,76.99,5.0,50
1231,4.94,55.81,0.7,57.0,2825.0,72.39,4.77,50
1232,4.8,54.8,0.7,56.0,2744.0,71.49,4.72,50
1233,3.51,45.6,0.7,41.0,2008.0,63.31,4.32,50
1234,5.11,56.98,0.7,59.0,2918.0,73.42,4.82,50
1235,3.11,42.69,0.7,36.0,1775.0,60.72,4.19,50
1236,5.58,60.36,0.7,65.0,3189.0,76.43,4.97,50
1237,4.87,55.29,0.7,56.0,2783.0,71.92,4.75,50
1238,6.02,63.53,0.7,70.0,3442.0,79.24,5.11,50
1239,6.1,64.05,0.7,71.0,3484.0,79.71,5.14,50
1240,5.87,62.45,0.7,68.0,3356.0,78.29,5.06,50
1241,4.56,53.05,0.7,53.0,2604.0,69.93,4.65,50
1242,2.25,36.6,0.7,26.0,1288.0,55.31,3.92,50
1243,3.74,47.19,0.7,43.0,2135.0,64.72,4.39,50
1244,5.45,59.43,0.7,63.0,3114.0,75.6,4.93,50
1245,3.09,42.58,0.7,36.0,1766.0,60.62,4.18,50
1246,4.65,53.71,0.7,54.0,2657.0,70.52,4.68,50
1247,2.46,38.04,0.7,28.0,1403.0,56.59,3.98,50
1248,4.53,52.86,0.7,52.0,2589.0,69.77,4.64,50
1249,2.91,41.25,0.7,34.0,1660.0,59.44,4.12,50
1250,6.01,63.4,0.7,70.0,3432.0,79.13,5.11,50
1251,5.03,56.41,0.7,58.0,2873.0,72.92,4.8,50
1252,5.93,62.89,0.7,69.0,3391.0,78.68,5.08,50
1253,3.34,44.35,0.7,39.0,1908.0,62.2,4.26,50
1254,4.78,54.65,0.7,55.0,2732.0,71.36,4.72,50
1255,2.54,38.66,0.7,29.0,1453.0,57.14,4.01,50
1256,3.1,42.63,0.7,36.0,1770.0,60.67,4.18,50
1257,3.09,42.6,0.7,36.0,1768.0,60.64,4.18,50
1258,3.1,42.68,0.7,36.0,1774.0,60.71,4.19,50
1259,2.49,38.3,0.7,29.0,1424.0,56.82,3.99,50
1260,3.35,44.4,0.7,39.0,1912.0,62.24,4.26,50
